 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
1020,7/23/2023 8:30:00 PM,Tanque 1003,124500,35970,Therlet 4,23,OK
1023,7/23/2023 9:33:00 PM,Tanque 1002,134700,37950,Therlet 4,26,OK
1026,7/23/2023 11:30:00 PM,Tanque 1001,121900,35460,Therlet 4,26,OK
1027,7/24/2023 12:30:00 AM,Tanque 1002,130900,39040,Therlet 4,24,OK
1030,7/24/2023 3:29:00 AM,Tanque 1001,118100,33860,Therlet 4,25,OK
1032,7/24/2023 5:30:00 AM,Tanque 1002,114900,34240,Therlet 4,24,OK
1036,7/24/2023 7:56:00 AM,Tanque 1002,116600,38100,Therlet 4,25,OK
1040,7/24/2023 8:30:00 AM,Tanque 1002,131800,39120,Therlet 4,25,OK
1044,7/24/2023 10:30:00 AM,Tanque 1002,132200,38630,Therlet 4,25,OK
1038,7/24/2023 11:24:00 AM,Tanque 1002,127600,39190,Therlet 4,23,OK
1050,7/24/2023 3:35:00 PM,Tanque 1003,108200,38980,Therlet 4,23,OK
1054,7/24/2023 5:35:00 PM,Tanque 1002,120000,33920,Therlet 4,23,OK
1060,7/24/2023 8:35:00 PM,Tanque 1003,126100,35710,Therlet 4,29,OK
1063,7/24/2023 10:30:00 PM,Tanque 1001,121300,36160,Therlet 4,20,OK
1068,7/25/2023 12:30:00 AM,Tanque 1002,119000,34050,Therlet 4,22,OK
1070,7/25/2023 2:30:00 AM,Tanque 1003,110400,33100,Therlet 4,25,OK
1073,7/25/2023 5:30:00 AM,Tanque 1001,118100,34240,Therlet 4,25,OK
1075,7/25/2023 2:30:00 PM,Tanque 1002,133400,41110,Therlet 4,24,OK
1079,7/25/2023 4:29:00 PM,Tanque 1001,123200,37520,Therlet 4,25,OK
1088,7/26/2023 12:40:00 AM,Tanque 1001,128800,37680,Therlet 4,28,OK
1091,7/26/2023 2:30:00 AM,Tanque 1003,172000,48160,Therlet 4,23,OK
1095,7/26/2023 5:33:00 AM,Tanque 1002,149600,41920,Therlet 4,25,OK
1102,7/26/2023 7:32:00 AM,Tanque 1001,132000,42000,Therlet 4,22,OK
1104,7/26/2023 8:30:00 AM,Tanque 1002,136000,42000,Therlet 4,23,OK
1106,7/26/2023 9:30:00 AM,Tanque 1003,144360,43450,Therlet 4,24,OK
1112,7/26/2023 11:30:00 AM,Tanque 1002,134600,39180,Therlet 4,26,OK
1116,7/26/2023 1:30:00 PM,Tanque 1001,139750,37580,Therlet 4,27,OK
1120,7/26/2023 3:31:00 PM,Tanque 1003,138800,38320,Therlet 4,27,OK
1123,7/26/2023 6:30:00 PM,Tanque 1003,136400,38400,Therlet 4,26,OK
1127,7/26/2023 7:31:00 PM,Tanque 1002,138800,40880,Therlet 4,25,OK
1141,8/1/2023 12:28:00 AM,Tanque 1002,120400,34320,Therlet 4,23,OK
1142,8/1/2023 1:30:00 AM,Tanque 1003,149600,43320,Therlet 4,22,OK
1148,8/1/2023 3:30:00 AM,Tanque 1003,139000,40880,Therlet 4,21,OK
1149,8/1/2023 3:30:00 AM,Tanque 1003,139000,40880,Therlet 4,20,OK
1152,8/1/2023 5:30:00 AM,Tanque 1002,139200,40560,Therlet 4,20,OK
1310,8/7/2023 12:39:00 AM,Tanque 1003,150800,38900,Therlet 4,23,OK
1283,8/7/2023 2:45:00 AM,Tanque 1003,146000,43920,Therlet 4,29,OK
1286,8/7/2023 4:30:00 AM,Tanque 1001,137200,38720,Therlet 4,24,OK
1290,8/7/2023 7:34:00 AM,Tanque 1001,132200,38650,Therlet 4,24,OK
